id,placeId,locationType,nameFr,nameEn,descriptionFr,descriptionEn,containedInPlaceStatus,streetAddress,addressLocality,addressRegion,postalCode,addressCountry,lastModification
VILLE-1023,1023,AdministrativeArea,Les Îles-de-la-Madeleine,Les Îles-de-la-Madeleine,Municipalité de Les Îles-de-la-Madeleine,Municipality of Les Îles-de-la-Madeleine,false,"""""",Les Îles-de-la-Madeleine,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-1042,1042,AdministrativeArea,Grosse-Île,Grosse-Île,Municipalité de Grosse-Île,Municipality of Grosse-Île,false,"""""",Grosse-Île,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-2005,2005,AdministrativeArea,Percé,Percé,Ville de Percé,Town of Percé,false,"""""",Percé,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-2010,2010,AdministrativeArea,Sainte-Thérèse-de-Gaspé,Sainte-Thérèse-de-Gaspé,Municipalité de Sainte-Thérèse-de-Gaspé,Municipality of Sainte-Thérèse-de-Gaspé,false,"""""",Sainte-Thérèse-de-Gaspé,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-2015,2015,AdministrativeArea,Grande-Rivière,Grande-Rivière,Ville de Grande-Rivière,Town of Grande-Rivière,false,"""""",Grande-Rivière,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-2028,2028,AdministrativeArea,Chandler,Chandler,Ville de Chandler,Town of Chandler,false,"""""",Chandler,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-2047,2047,AdministrativeArea,Port-Daniel--Gascons,Port-Daniel--Gascons,Municipalité de Port-Daniel--Gascons,Municipality of Port-Daniel--Gascons,false,"""""",Port-Daniel--Gascons,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-2902,2902,AdministrativeArea,Mont-Alexandre,Mont-Alexandre,Mont-Alexandre,Mont-Alexandre,false,"""""",Mont-Alexandre,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-3005,3005,AdministrativeArea,Gaspé,Gaspé,Ville de Gaspé,Town of Gaspé,false,"""""",Gaspé,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-3010,3010,AdministrativeArea,Cloridorme,Cloridorme,Municipalité de Cloridorme,Municipality of Cloridorme,false,"""""",Cloridorme,QC,"""""",CAN,2025-03-27T15:00:00-04:00
